"","gene_id_all","niche","effect_median","effect_lower","effect_upper","OR_median","OR_lower","OR_upper","prob_median","prob_lower","prob_upper"
"75","CP057748.1_80","nichelaboratory",-0.004699455,-1.809026151,1.72606703275,0.995311570184048,0.16381358894359,5.61851300479467,0.0859474548200234,0.015054281205232,0.347086040758967
"76","NZ_CP053772.1_89","nichelaboratory",-0.00768787999999999,-2.120098806275,2.1377229285,0.992341596177277,0.120019776771719,8.4801058219139,0.0407980053158676,0.00501206604749996,0.26759594617898
"77","AM261282.1_29","nichelivestock",-0.012862275,-0.602929981,0.5216497475,0.987220090813127,0.547205983573778,1.68480486083476,0.0277856859172217,0.0161906370035128,0.0443910517488909
"78","NZ_CP049291.1_137","nicheBacteria",-0.01343063,-0.77212555225,0.66788605925,0.986659158807639,0.462029955336541,1.95011054275327,0.0797433974005974,0.0386655361743129,0.147683913766473
"79","OV141395.1_159","nicheBacteria",-0.016591493,-0.83838032025,0.68975552275,0.983545387828787,0.432410323361128,1.99322817540549,0.0471831504566902,0.0211082917682829,0.0926492880359655
"80","NZ_KP056256.1_146","nichewastewater",-0.01821764,-0.86437389775,0.672290053749999,0.981947298185077,0.421315256592491,1.95871776723634,0.0122629304162497,0.00520567890774225,0.0241602089444894
"81","NZ_CP139811.1_48","nichedomesticatedanimal",-0.0292309455,-0.7687001865,0.609740406299999,0.971192146109175,0.463615290361931,1.83995370431253,0.0622830916317353,0.0302444744823131,0.112665267292872
"82","NZ_KP056256.1_146","nichedomesticatedanimal",-0.03019927015,-1.13395447425,0.939080959925,0.970252171994311,0.321758352293474,2.55762977434723,0.0121229089630668,0.00382514850207562,0.0316622047501274
"83","AM261282.1_29","nicheBacteria",-0.033613989,-0.94436982455,0.7536768,0.966944683895517,0.388924584418013,2.12479812953943,0.0271756958203007,0.0108694377722891,0.0582807701892605
"84","NZ_MN732922.1_254","nicheenvironmental",-0.035256195,-0.71370434225,0.574304801949998,0.965358064711969,0.489826348228814,1.77589550990661,0.0139467589737324,0.00698402852530545,0.0252050554083805
"85","CP057748.1_80","nichewildlife",-0.03553813334,-0.436705223025,0.319883041125,0.965085931628642,0.646161877057192,1.37696670723274,0.0833306380923177,0.0566442607511873,0.116851369193621
