effect_size_posterior_median_95CI,Odds Ratio Posterior Median (95% CI),Probability Posterior Median (95% CI)
-0.175027 [-1.25724; 0.429939],0.839434 [0.284439; 1.53716],0.032742 [0.0113268; 0.0612013]
-0.175815 [-0.833407; 0.338297],0.838773 [0.434566; 1.40256],0.018868 [0.00973093; 0.0319225]
-0.176188 [-1.25746; 0.409741],0.83846 [0.284375; 1.50643],0.0759408 [0.0271994; 0.132636]
-0.17835 [-1.80025; 0.59573],0.83665 [0.165258; 1.81435],0.020946 [0.00430927; 0.0463888]
-0.183824 [-0.65375; 0.20759],0.832082 [0.520092; 1.23071],0.0583987 [0.0371816; 0.0853445]
-0.190162 [-0.703839; 0.261919],0.826825 [0.494682; 1.29942],0.0426156 [0.0258348; 0.0662821]
-0.192127 [-0.824149; 0.288837],0.825202 [0.438608; 1.33487],0.0232124 [0.0124686; 0.0378593]
-0.195489 [-1.52448; 0.489507],0.822433 [0.217735; 1.63151],0.015569 [0.00419; 0.0323996]
-0.196315 [-0.719838; 0.267756],0.821752 [0.486831; 1.30703],0.0324483 [0.0194203; 0.050623]
-0.200121 [-1.53158; 0.462045],0.818631 [0.216194; 1.58732],0.0182415 [0.00487916; 0.0370449]
-0.202799 [-1.12781; 0.331458],0.816442 [0.323742; 1.393],0.0709779 [0.0292202; 0.119757]
-0.207549 [-0.766725; 0.277258],0.812573 [0.464532; 1.31951],0.0286584 [0.0164966; 0.0459595]
-0.207908 [-0.655549; 0.154609],0.812282 [0.519157; 1.1672],0.0740051 [0.0481793; 0.104827]
-0.208248 [-0.900985; 0.303216],0.812005 [0.40617; 1.35421],0.0338278 [0.0170476; 0.0569237]
-0.21661 [-1.97507; 0.573988],0.805244 [0.138751; 1.77533],0.0186246 [0.00328766; 0.0423414]
-0.221082 [-0.823656; 0.297529],0.801651 [0.438824; 1.34653],0.0335187 [0.0185404; 0.0549466]
-0.241061 [-0.83505; 0.200919],0.785794 [0.433853; 1.22253],0.0309537 [0.0172306; 0.0487041]
-0.246558 [-0.666238; 0.143197],0.781486 [0.513637; 1.15396],0.0552433 [0.0372742; 0.0789193]
-0.261618 [-0.925835; 0.277564],0.769805 [0.3962; 1.31991],0.0217545 [0.0112338; 0.0371743]
-0.271769 [-0.86361; 0.218215],0.76203 [0.421637; 1.24385],0.0316598 [0.0178457; 0.0513669]
-0.282158 [-0.704782; 0.0860887],0.754155 [0.494216; 1.0899],0.0691654 [0.0462111; 0.0983326]
-0.29313 [-0.668696; 0.0661298],0.745925 [0.512376; 1.06837],0.0685895 [0.0478974; 0.0949028]
-0.29894 [-1.08496; 0.248162],0.741604 [0.337916; 1.28167],0.0291715 [0.0133411; 0.050492]
-0.299188 [-0.773831; 0.108151],0.74142 [0.461242; 1.11422],0.052461 [0.0333721; 0.0773218]
-0.304639 [-0.965493; 0.16417],0.737389 [0.380795; 1.17841],0.0260492 [0.0136234; 0.0418638]
-0.305404 [-0.973246; 0.312878],0.736826 [0.377855; 1.36735],0.0187095 [0.00966851; 0.0338832]
-0.336838 [-4.51437; 1.51464],0.714024 [0.0109505; 4.5478],0.0137152 [0.00020865; 0.0825515]
-0.337146 [-5.07001; 1.74298],0.713805 [0.00628235; 5.71432],0.00888512 [7.50398e-05; 0.069366]
-0.34411 [-3.59867; 1.09823],0.708851 [0.0273602; 2.99885],0.0651898 [0.00266048; 0.231106]
-0.348544 [-4.23438; 1.27642],0.705715 [0.0144888; 3.58378],0.0248796 [0.0005241; 0.117519]
-0.353067 [-4.28837; 1.30545],0.70253 [0.0137273; 3.68935],0.0198121 [0.000398885; 0.0978296]
-0.357252 [-4.21326; 1.2484],0.699597 [0.014798; 3.48476],0.0276109 [0.000592088; 0.125479]
-0.358888 [-4.91593; 1.56119],0.698452 [0.00732889; 4.76446],0.0100689 [0.000106039; 0.0664012]
-0.362734 [-0.814738; 0.0639129],0.695771 [0.442755; 1.066],0.0453873 [0.0295355; 0.0666078]
-0.364565 [-4.46461; 1.29044],0.694498 [0.0115092; 3.63437],0.0243938 [0.00041268; 0.116646]
-0.368321 [-1.39699; 0.318113],0.691895 [0.247341; 1.37453],0.00972546 [0.00346809; 0.0199865]
-0.370314 [-3.86065; 1.14593],0.690518 [0.0210542; 3.14538],0.0334534 [0.0010513; 0.139415]
-0.374867 [-3.848; 1.11332],0.687381 [0.0213224; 3.04445],0.0447819 [0.0014387; 0.173665]
-0.375529 [-4.23315; 1.19045],0.686926 [0.0145066; 3.28856],0.0334359 [0.00071845; 0.14274]
-0.375815 [-3.81471; 1.09723],0.686729 [0.0220441; 2.99584],0.0488535 [0.00161456; 0.182694]
-0.384247 [-4.2429; 1.21337],0.680963 [0.0143659; 3.36479],0.028599 [0.000621369; 0.128841]
-0.390925 [-4.38944; 1.27099],0.676431 [0.0124076; 3.56437],0.0266769 [0.000501947; 0.127913]
-0.394196 [-5.35559; 1.54338],0.674222 [0.00472168; 4.6804],0.00925665 [6.54395e-05; 0.0613744]
-0.402407 [-4.08638; 1.07766],0.668708 [0.0168001; 2.93779],0.0619702 [0.00160729; 0.226692]
-0.404213 [-4.21338; 1.21839],0.667502 [0.0147963; 3.38173],0.0347141 [0.000795011; 0.157135]
-0.405403 [-4.21925; 1.10681],0.666708 [0.0147097; 3.02468],0.055083 [0.00126564; 0.209894]
-0.405494 [-4.30877; 1.18393],0.666648 [0.0134501; 3.2672],0.0234659 [0.000479054; 0.107445]
-0.406168 [-5.4975; 1.5614],0.666198 [0.00409699; 4.76547],0.0168262 [0.000104444; 0.110912]
-0.406585 [-4.06878; 1.06558],0.665921 [0.0170983; 2.90252],0.0707411 [0.00193453; 0.250698]
-0.419964 [-1.12961; 0.145468],0.657071 [0.32316; 1.15658],0.0260089 [0.0127625; 0.0450399]
-0.445645 [-4.43488; 1.04856],0.640411 [0.0118565; 2.85355],0.0253292 [0.000479259; 0.108274]
