effect_size_posterior_median_95CI,Odds Ratio Posterior Median (95% CI) ,Probability Posterior Median (95% CI) 
"-0.196169 [-0.733035,  0.264937]","0.821873 [0.480449,  1.30335]","0.0324283 [0.0196783,  0.0493634]"
"-0.200256 [-1.1568,  0.329833]","0.818521 [0.314492,  1.39074]","0.0713356 [0.0289132,  0.11698]"
"-0.207354 [-0.650364,  0.157719]","0.812732 [0.521856,  1.17084]","0.0741952 [0.0497501,  0.102374]"
"-0.209061 [-0.894175,  0.307347]","0.811346 [0.408945,  1.35981]","0.033708 [0.0173525,  0.0554674]"
"-0.210058 [-0.761238,  0.272474]","0.810537 [0.467088,  1.31321]","0.0286825 [0.0169963,  0.0443994]"
"-0.216186 [-2.01662,  0.577699]","0.805586 [0.133105,  1.78193]","0.0185985 [0.00321233,   0.0419908]"
"-0.222608 [-0.821235,  0.297895]","0.800428 [0.439888,  1.34702]","0.0334936 [0.0189346,  0.0536092]"
"-0.239736 [-0.825462,  0.20248]","0.786836 [0.438033,  1.22444]","0.031006 [0.0178242,  0.0471058]"
"-0.247524 [-0.662735,  0.143851]","0.780732 [0.51544,  1.15471]","0.0550845 [0.0383483,  0.0761658]"
"-0.263551 [-0.945944,  0.286288]","0.768318 [0.388313,  1.33148]","0.0217575 [0.0112193,  0.0366519]"
"-0.270358 [-0.85369,  0.21644]","0.763106 [0.425841,  1.24165]","0.031722 [0.018415,  0.0500828]"
"-0.286037 [-0.70701,  0.0773466]","0.751235 [0.493117,  1.08042]","0.0690907 [0.0476071,  0.09455]"
"-0.293812 [-0.669993,  0.0597367]","0.745417 [0.511712,  1.06156]","0.0685826 [0.0497478,  0.0914573]"
"-0.298008 [-1.08057,  0.254109]","0.742296 [0.339403,  1.28931]","0.0291554 [0.0136543,  0.0495987]"
"-0.3022 [-0.956967,  0.157079]","0.73919 [0.384056,  1.17009]","0.0261239 [0.0141103,  0.0407698]"
"-0.303275 [-0.772047,  0.0963717]","0.738396 [0.462066,  1.10117]","0.052288 [0.0341196,  0.0744398]"
"-0.307841 [-0.969293,  0.320234]","0.735032 [0.379351,  1.37745]","0.0187056 [0.00994744,  0.0333265]"
"-0.345293 [-4.67677,  1.51378]","0.708013 [0.00930906,  4.54385]","0.0136035 [0.00017776,  0.0817971]"
"-0.350415 [-5.17812,  1.74233]","0.704396 [0.00563861,  5.71064]","0.00878095 [7.08e-05,  0.0671622]"
"-0.357497 [-3.64731,  1.08974]","0.699425 [0.0260612,  2.97349]","0.0644247 [0.00250694,  0.227447]"
"-0.357928 [-4.35804,  1.30349]","0.699124 [0.0128035,  3.68214]","0.0247201 [0.00047825,  0.118531]"
"-0.361775 [-0.822179,  0.0618103]","0.696439 [0.439473,  1.06376]","0.0454477 [0.0300786,  0.0649569]"
"-0.364847 [-3.94728,  1.14924]","0.694303 [0.0193071,  3.15579]","0.0336313 [0.0009572,  0.139481]"
"-0.365915 [-4.94886,  1.53439]","0.693561 [0.00709148,  4.63849]","0.00992325 [0.00010323,  0.0653036]"
"-0.370783 [-4.2544,  1.25479]","0.690194 [0.0142016,  3.5071]","0.0273317 [0.00058451,  0.126131]"
"-0.370954 [-4.40926,  1.31277]","0.690076 [0.0121642,  3.71646]","0.0195613 [0.0003419,  0.0983843]"
"-0.372391 [-1.39528,  0.321353]","0.689085 [0.247763,  1.37899]","0.0096931 [0.00353603,  0.0195558]"
"-0.376531 [-3.929,   1.10648]","0.686238 [0.0196633,  3.02369]","0.0486913 [0.00147064,  0.1853]"
"-0.379596 [-4.23588,  1.19219]","0.684138 [0.0144671,  3.29427]","0.0287418 [0.00061221,  0.126004]"
"-0.38022 [-4.03808,  1.11999]","0.683711 [0.0176313,  3.06482]","0.0445741 [0.00119398,  0.173802]"
"-0.386221 [-4.52815,  1.28452]","0.67962 [0.0108007,  3.61292]","0.0267304 [0.00043942,  0.127169]"
"-0.38693 [-4.51649,  1.27016]","0.679139 [0.0109273,  3.56141]","0.0239339 [0.00038298,  0.114787]"
"-0.388734 [-4.3479,  1.18825]","0.677915 [0.0129339,  3.28132]","0.0330733 [0.00065225,  0.14298]"
"-0.403714 [-4.33852,  1.21381]","0.667835 [0.0130558,  3.36628]","0.0347254 [0.00070378,  0.155614]"
"-0.407296 [-4.39659,  1.1895]","0.665447 [0.0123193,  3.28543]","0.0234045 [0.00043136,  0.107752]"
"-0.410004 [-4.2618,  1.08967]","0.663647 [0.0140969,  2.97331]","0.0548498 [0.0012546,  0.206563]"
"-0.413074 [-5.46541,  1.53569]","0.661613 [0.0042306,  4.64454]","0.0167519 [0.00010994,  0.10974]"
